entity,code,year,predicted_forest_cover
Algeria,DZA,2016,390920.96917741164
Algeria,DZA,2017,425632.8321343715
Algeria,DZA,2018,458096.0191516634
Algeria,DZA,2019,473993.67635171604
Algeria,DZA,2020,489306.13014844334
Algeria,DZA,2021,500563.82546912774
Algeria,DZA,2022,518624.0280718573
Algeria,DZA,2023,537606.0378185515
Algeria,DZA,2024,560846.5717588407
Algeria,DZA,2025,582052.140985674
Algeria,DZA,2026,603646.6301147881
Algeria,DZA,2027,622069.8179944737
Algeria,DZA,2028,640683.2402430733
Algeria,DZA,2029,657776.7897480994
Algeria,DZA,2030,676491.8165197514
Argentina,ARG,2016,-6874374.325243607
Argentina,ARG,2017,-7177673.715362044
Argentina,ARG,2018,-7507690.3609899
Argentina,ARG,2019,-7835345.364724247
Argentina,ARG,2020,-8084039.3472104985
Argentina,ARG,2021,-8355708.801918739
Argentina,ARG,2022,-8618857.468680674
Argentina,ARG,2023,-8902748.668488871
Argentina,ARG,2024,-9186608.388013214
Argentina,ARG,2025,-9487537.261517756
Argentina,ARG,2026,-9790337.002056744
Argentina,ARG,2027,-10098107.29566758
Argentina,ARG,2028,-10406007.670818586
Argentina,ARG,2029,-10716844.350836283
Argentina,ARG,2030,-11033413.407058679
Aruba,ABW,2016,0.002199618723794763
Aruba,ABW,2017,0.004517690145371189
Aruba,ABW,2018,0.007408580163874986
Aruba,ABW,2019,0.009749515487631795
Aruba,ABW,2020,0.011878969675849256
Aruba,ABW,2021,0.013435719273591553
Aruba,ABW,2022,0.01357268896426877
Aruba,ABW,2023,0.01297300505380471
Aruba,ABW,2024,0.011824474692849234
Aruba,ABW,2025,0.010329851948240137
Aruba,ABW,2026,0.008351604833981023
Aruba,ABW,2027,0.006067132331853108
Aruba,ABW,2028,0.003717974272594956
Aruba,ABW,2029,0.0013426671205255861
Aruba,ABW,2030,-0.001061304736691462
Australia,AUS,2016,3244020.6523093805
Australia,AUS,2017,2833524.7179711936
Australia,AUS,2018,2073437.4802219768
Australia,AUS,2019,1804031.166642941
Australia,AUS,2020,1569770.9796183663
Australia,AUS,2021,1736319.1310582056
Australia,AUS,2022,1991737.2940451163
Australia,AUS,2023,2560525.9070603997
Australia,AUS,2024,3170782.3344889656
Australia,AUS,2025,3702374.9811383267
Australia,AUS,2026,3878324.6283442713
Australia,AUS,2027,3696765.550732644
Australia,AUS,2028,3248417.9467603015
Australia,AUS,2029,2862904.247757569
Australia,AUS,2030,2709194.81817958
Austria,AUT,2016,106377.35162761001
Austria,AUT,2017,109756.56275597698
Austria,AUT,2018,113287.47212624263
Austria,AUT,2019,117982.8228079945
Austria,AUT,2020,122773.3427240166
Austria,AUT,2021,127990.15615880225
Austria,AUT,2022,132241.66145164936
Austria,AUT,2023,135774.6122078822
Austria,AUT,2024,137706.68072537653
Austria,AUT,2025,139756.07906264797
Austria,AUT,2026,141238.77992412093
Austria,AUT,2027,144485.69426162186
Austria,AUT,2028,148899.41443121605
Austria,AUT,2029,156752.65048861658
