entity,code,year,predicted_forest_cover
Algeria,DZA,2030,676491.8165197514
Argentina,ARG,2030,-11033413.407058679
Aruba,ABW,2030,-0.001061304736691462
Australia,AUS,2030,2709194.81817958
Austria,AUT,2030,163550.451472758
Azerbaijan,AZE,2030,402241.9197100793
Bahrain,BHR,2030,566.1651375082977
Bangladesh,BGD,2030,-75708.7353918835
Belarus,BLR,2030,1110605.4321653384
Belgium,BEL,2030,-4568.687109311561
Belize,BLZ,2030,-445052.5421445968
Bhutan,BTN,2030,313405.78318466875
Bolivia,BOL,2030,-9939826.7429469
Brazil,BRA,2030,-136086636.03729555
Bulgaria,BGR,2030,1036938.3297199369
Burundi,BDI,2030,121484.50053322411
Cameroon,CMR,2030,-3109697.215067473
Canada,CAN,2030,-2035655.1966372076
Cape Verde,CPV,2030,13471.491741591133
Cayman Islands,CYM,2030,-584.7262002597017
Central African Republic,CAF,2030,-1349951.4173035682
Chile,CHL,2030,4802687.000964589
China,CHN,2030,96566241.75878656
Colombia,COL,2030,-8254683.020670695
Congo,COG,2030,-545195.796787748
Costa Rica,CRI,2030,181482.1561062882
Croatia,HRV,2030,113991.88467143977
Cuba,CUB,2030,1996599.623940865
Denmark,DNK,2030,165942.3613422101
Djibouti,DJI,2030,92.24019810081708
Dominican Republic,DOM,2030,625197.3462782995
Ecuador,ECU,2030,-2968652.11816578
El Salvador,SLV,2030,-202492.71259553576
Equatorial Guinea,GNQ,2030,-376186.4616219273
Estonia,EST,2030,510246.74260943953
Ethiopia,ETH,2030,-3284881.7821053583
Falkland Islands,FLK,2030,-0.001061304736691462
Faroe Islands,,2030,-0.001061304736691462
Finland,FIN,2030,564501.5666137433
French Guyana,,2030,-180394.362219273
Gabon,GAB,2030,-337841.77806592826
Georgia,GEO,2030,177603.96513223788
Germany,DEU,2030,181394.80018674914
Gibraltar,GIB,2030,-0.001061304736691462
Greenland,GRL,2030,-0.001061304736691462
Guadeloupe,GLP,2030,-865.0978903553528
