entity,code,forest_change,forest_cover_index,cover_lag_1,cover_lag_2,cover_lag_3,change_lag_1,change_lag_2,year_norm,year
Algeria,DZA,-8800.0,-17600.0,,,,,,0.0,1990
Algeria,DZA,-4530.0,-22130.0,-17600.0,,,-8800.0,,0.025,1991
Algeria,DZA,-260.0,-22390.0,-22130.0,-17600.0,,-4530.0,-8800.0,0.05,1992
Algeria,DZA,4010.0,-18380.0,-22390.0,-22130.0,-17600.0,-260.0,-4530.0,0.075,1993
Algeria,DZA,8280.0,-10100.0,-18380.0,-22390.0,-22130.0,4010.0,-260.0,0.1,1994
Algeria,DZA,12550.0,2450.0,-10100.0,-18380.0,-22390.0,8280.0,4010.0,0.125,1995
Algeria,DZA,16820.0,19270.0,2450.0,-10100.0,-18380.0,12550.0,8280.0,0.15,1996
Algeria,DZA,21090.0,40360.0,19270.0,2450.0,-10100.0,16820.0,12550.0,0.175,1997
Algeria,DZA,25360.0,65720.0,40360.0,19270.0,2450.0,21090.0,16820.0,0.2,1998
Algeria,DZA,29630.0,95350.0,65720.0,40360.0,19270.0,25360.0,21090.0,0.225,1999
Algeria,DZA,33900.0,129250.0,95350.0,65720.0,40360.0,29630.0,25360.0,0.25,2000
Algeria,DZA,31270.0,160520.0,129250.0,95350.0,65720.0,33900.0,29630.0,0.275,2001
Algeria,DZA,28640.0,189160.0,160520.0,129250.0,95350.0,31270.0,33900.0,0.3,2002
Algeria,DZA,26010.0,215170.0,189160.0,160520.0,129250.0,28640.0,31270.0,0.325,2003
Algeria,DZA,23380.0,238550.0,215170.0,189160.0,160520.0,26010.0,28640.0,0.35,2004
Algeria,DZA,20750.0,259300.0,238550.0,215170.0,189160.0,23380.0,26010.0,0.375,2005
Algeria,DZA,18120.0,277420.0,259300.0,238550.0,215170.0,20750.0,23380.0,0.4,2006
Algeria,DZA,15490.0,292910.0,277420.0,259300.0,238550.0,18120.0,20750.0,0.425,2007
Algeria,DZA,12860.0,305770.0,292910.0,277420.0,259300.0,15490.0,18120.0,0.45,2008
Algeria,DZA,10230.0,316000.0,305770.0,292910.0,277420.0,12860.0,15490.0,0.475,2009
Algeria,DZA,7600.0,323600.0,316000.0,305770.0,292910.0,10230.0,12860.0,0.5,2010
Algeria,DZA,5800.0,329400.0,323600.0,316000.0,305770.0,7600.0,10230.0,0.525,2011
Algeria,DZA,4000.0,333400.0,329400.0,323600.0,316000.0,5800.0,7600.0,0.55,2012
Algeria,DZA,2200.0,335600.0,333400.0,329400.0,323600.0,4000.0,5800.0,0.575,2013
Algeria,DZA,400.0,336000.0,335600.0,333400.0,329400.0,2200.0,4000.0,0.6,2014
Algeria,DZA,-1400.0000000000005,334600.0,336000.0,335600.0,333400.0,400.0,2200.0,0.625,2015
Argentina,ARG,-182600.0,-365200.0,,,,,,0.0,1990
Argentina,ARG,-195980.0,-561180.0,-365200.0,,,-182600.0,,0.025,1991
Argentina,ARG,-209360.0,-770540.0,-561180.0,-365200.0,,-195980.0,-182600.0,0.05,1992
